Metric,Value
design__instance__count,25162
design__instance__area,173514
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,30
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,406
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0067098201252520084
power__switching__total,0.003403570270165801
power__leakage__total,1.835176988151943E-7
power__total,0.010113573633134365
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-2.3879490172249995
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.3731654813000135
timing__hold__ws__corner:nom_tt_025C_1v80,0.7402447753180539
timing__setup__ws__corner:nom_tt_025C_1v80,14.288171050733974
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.740245
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,14.288171
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,446
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,406
design__max_cap_violation__count__corner:nom_ss_100C_1v60,3
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-2.6003013811507882
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.4491540322357705
timing__hold__ws__corner:nom_ss_100C_1v60,1.706366651830386
timing__setup__ws__corner:nom_ss_100C_1v60,3.8154405159695037
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.706367
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,3.815440
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,406
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-2.300290689702759
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.340642163007612
timing__hold__ws__corner:nom_ff_n40C_1v95,0.41138160709006205
timing__setup__ws__corner:nom_ff_n40C_1v95,18.11551671057784
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.411382
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,18.115517
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,564
design__max_fanout_violation__count,406
design__max_cap_violation__count,8
clock__skew__worst_hold,-2.2904128131286985
clock__skew__worst_setup,0.3289848209193557
timing__hold__ws,0.4096803012790103
timing__setup__ws,3.3917900559319274
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.409680
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,3.391790
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 600.0 600.0
design__core__bbox,5.52 10.88 594.32 587.52
design__io,199
design__die__area,360000
design__core__area,339526
design__instance__count__stdcell,25162
design__instance__area__stdcell,173514
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.511048
design__instance__utilization__stdcell,0.511048
design__instance__count__class:buffer,249
design__instance__count__class:inverter,122
design__instance__count__class:sequential_cell,2095
design__instance__count__class:multi_input_combinational_cell,5855
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,37312
design__instance__count__class:tap_cell,4815
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,404016
design__violations,0
design__instance__count__class:timing_repair_buffer,3560
design__instance__count__class:clock_buffer,320
design__instance__count__class:clock_inverter,161
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
design__instance__count__class:antenna_cell,7985
antenna_diodes_count,15
route__net,12222
route__net__special,2
route__drc_errors__iter:1,6870
route__wirelength__iter:1,529013
route__drc_errors__iter:2,2581
route__wirelength__iter:2,524583
route__drc_errors__iter:3,2471
route__wirelength__iter:3,523766
route__drc_errors__iter:4,197
route__wirelength__iter:4,522889
route__drc_errors__iter:5,10
route__wirelength__iter:5,522909
route__drc_errors__iter:6,0
route__wirelength__iter:6,522906
route__drc_errors,0
route__wirelength,522906
route__vias,108860
route__vias__singlecut,108860
route__vias__multicut,0
design__disconnected_pin__count,37
design__critical_disconnected_pin__count,0
route__wirelength__max,1288.57
timing__unannotated_net__count__corner:nom_tt_025C_1v80,338
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,338
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,338
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,406
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-2.37524984182097
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.35813750201366706
timing__hold__ws__corner:min_tt_025C_1v80,0.7376446329208448
timing__setup__ws__corner:min_tt_025C_1v80,14.551899652711127
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.737645
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,14.551900
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,338
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,356
design__max_fanout_violation__count__corner:min_ss_100C_1v60,406
design__max_cap_violation__count__corner:min_ss_100C_1v60,2
clock__skew__worst_hold__corner:min_ss_100C_1v60,-2.5810252443628703
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.4263207407763501
timing__hold__ws__corner:min_ss_100C_1v60,1.7022845836979954
timing__setup__ws__corner:min_ss_100C_1v60,4.274557717665614
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,0.0
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,0.0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,1.702285
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r__ws__corner:min_ss_100C_1v60,4.274558
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,338
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,406
design__max_cap_violation__count__corner:min_ff_n40C_1v95,0
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-2.2904128131286985
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.3289848209193557
timing__hold__ws__corner:min_ff_n40C_1v95,0.4096803012790103
timing__setup__ws__corner:min_ff_n40C_1v95,18.292322840874284
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.409680
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,18.292322
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,338
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,38
design__max_fanout_violation__count__corner:max_tt_025C_1v80,406
design__max_cap_violation__count__corner:max_tt_025C_1v80,0
clock__skew__worst_hold__corner:max_tt_025C_1v80,-2.402710098888678
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.3926854230710346
timing__hold__ws__corner:max_tt_025C_1v80,0.7429443937010829
timing__setup__ws__corner:max_tt_025C_1v80,14.03852718253477
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.742944
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,14.038527
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,338
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,564
design__max_fanout_violation__count__corner:max_ss_100C_1v60,406
design__max_cap_violation__count__corner:max_ss_100C_1v60,8
clock__skew__worst_hold__corner:max_ss_100C_1v60,-2.622092395205213
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.47803229394620905
timing__hold__ws__corner:max_ss_100C_1v60,1.7109958378847854
timing__setup__ws__corner:max_ss_100C_1v60,3.3917900559319274
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,1.710996
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,3.391790
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,338
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,406
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-2.3124076641362095
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.35691314802748336
