Metric,Value
design__instance__count,3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,19830
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,2000
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.006423457060009241
power__switching__total,0.017229801043868065
power__leakage__total,0.0000013779819028059137
power__total,0.02365463599562645
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-3.2354975170416465
clock__skew__worst_setup__corner:nom_tt_025C_1v80,1.0983843034887983
timing__hold__ws__corner:nom_tt_025C_1v80,0.40340087967413624
timing__setup__ws__corner:nom_tt_025C_1v80,36.994699906152846
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.878686
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,38.368832
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,21303
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,2000
design__max_cap_violation__count__corner:nom_ss_100C_1v60,3037
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-4.174395613997204
clock__skew__worst_setup__corner:nom_ss_100C_1v60,-1.8686881460041018
timing__hold__ws__corner:nom_ss_100C_1v60,0.9325029901082457
timing__setup__ws__corner:nom_ss_100C_1v60,26.39014770296515
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.821603
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,26.390148
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,1768
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,2000
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-2.873519947766226
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.7928908865008978
timing__hold__ws__corner:nom_ff_n40C_1v95,0.26700242772475663
timing__setup__ws__corner:nom_ff_n40C_1v95,39.67554930228587
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.554459
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,48.183472
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,19663
design__max_fanout_violation__count__corner:min_tt_025C_1v80,2000
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-3.114123935754056
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.9899732425141268
timing__hold__ws__corner:min_tt_025C_1v80,0.4993294807853141
timing__setup__ws__corner:min_tt_025C_1v80,37.20931934555904
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.876173
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,38.794731
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,20845
design__max_fanout_violation__count__corner:min_ss_100C_1v60,2000
design__max_cap_violation__count__corner:min_ss_100C_1v60,1231
clock__skew__worst_hold__corner:min_ss_100C_1v60,-3.9905133660308825
clock__skew__worst_setup__corner:min_ss_100C_1v60,-1.7003889888521393
timing__hold__ws__corner:min_ss_100C_1v60,0.9675780450726136
timing__setup__ws__corner:min_ss_100C_1v60,27.1550860594953
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,0.0
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,0.0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
